REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,PRIZ_P,C2_5
2404,45,17534059,1037700043732,2404,044585238,9/1/2013,"АКБ ""АПАБАНК"" (ЗАО)","125047,  г. Москва, 2-я Тверская-Ямская улица, дом 2",1,31
2407,82,25127339,1020500003941,2407,048209775,9/1/2013,"ООО КБ ""Избербаш""","368502, Республика Дагестан, г. Избербаш, ул. Маяковского, 139 ""б""",1,22
2410,45,17539329,1027700136408,2410,044599133,9/1/2013,"ОАО КБ ""ПФС-БАНК""","109147,  г. Москва, ул. Воронцовская, д. 27/35, стр. 1",1,22
2412,45,17534020,1027700508978,2412,044525986,9/1/2013,"ОАО АКБ ""Пробизнесбанк""","119285,  г. Москва, ул. Пудовкина, д. 3",1,21
2425,37,29715978,1024500002427,2425,043735844,9/1/2013,"ЗАСКБ ""НАДЕЖНОСТЬ"" ОАО","640000, г.Курган, ул.Гоголя, 37а",1,22
2428,36,21194221,1026300001860,2428,043601869,9/1/2013,"ООО ""ВСБ""","443041, г.Самара, ул. Садовая, 175",1,22
2433,45,17540261,1037739297881,2433,044585173,9/1/2013,"ОАО АКБ ""ПРОМИНВЕСТБАНК""","101000, Москва, ул. Маросейка, д. 9/2, стр. 1",1,22
2435,82,25127322,1020500000267,2435-К,048209870,9/1/2013,"ООО РНКО ""УМУТ""","368000, Республика Дагестан, г.Хасавюрт, ул.Калинина, 4.",1,21
2436,80,29792045,1020200001128,2436,048073917,9/1/2013,"""Мой Банк. Ипотека"" (ОАО)","450098, Республика Башкортостан, г. Уфа, Проспект Октября, 132/3",1,31
2438,45,17535975,1027739050833,2438,044585473,9/1/2013,"АКБ ""ГЛОБУС"" (ОАО)","115184,  г. Москва, ул. Бахрушина, д. 10, стр.1",1,31
2440,45,17535627,1027700218666,2440,044525176,9/1/2013,"ОАО АКБ ""Металлинвестбанк""","109074,  г. Москва, Славянская площадь, д. 2/5/4, строение 3",1,31
2443,65,25054072,1026600000195,2443,046577881,9/1/2013,"ОАО ""МЕТКОМБАНК""","623406, Свердловская обл., г. Каменск-Уральский, ул. Октябрьская, 36",1,31
2462,45,17538287,1037700006684,2462,044585159,9/1/2013,"АКБ  ""Онлайн Банк"" (ЗАО)","107023,  г. Москва, ул. Малая Сем?новская, д. 11/2, стр. 3",1,27
2468,45,17541800,1027700429855,2468,044583772,9/1/2013,"АКБ ""Мосуралбанк"" (ЗАО)","115035, г. Москва, Раушская наб., д. 22, стр. 2",1,27
2469,45,17536503,1027739109276,2469,044585477,9/1/2013,"Банк ""Навигатор"" (ОАО)","119421, г. Москва, ул. Новаторов, д. 7А, корп. 2",1,31
2471,45,29720790,1022200527579,2471,044579647,9/1/2013,"ЗАО ""ПроБанк""","115172, г. Москва, Краснохолмская наб., 11, стр. 1",1,31
2472,45,17536845,1027739045025,2472,044585471,9/1/2013,"АКБ ""БНКВ"" (ЗАО)","105005,  г. Москва, ул. Бауманская, д. 58/25, строение 1",1,27
2480,66,25810912,1026700000018,2480,046614718,9/1/2013,"ОАО Банк ""Аскольд""","214000 г.Смоленск, ул. Докучаева, 5",1,23
2484,86,24855427,1021000000108,2484,048602746,9/1/2013,"ОАО Банк ""Онего""","185035, Республика Карелия, г. Петрозаводск, пр. К. Маркса, д.1",1,27
2490,45,17539789,1137711000074,2490,044585382,9/1/2013,"ЗАО ""ГЕНБАНК""","115184, г. Москва, Озерковская набережная, дом 12",1,31
2491,82,25127411,1020500000157,2491,048209797,9/1/2013,"ООО КБ ""Алжан""","367013, Республика Дагестан, г.Махачкала, ул.Юсупова, 38",1,21
2493,45,17537224,1027739067696,2493,044579879,9/1/2013,"ООО ""КБ ""МЕЖТРАСТБАНК""","127055,  г. Москва, ул. Образцова, д. 7",1,31
2494,45,29291308,1027739526935,2494,044525236,9/1/2013,"ЗАО ""БАНК КРЕДИТ СВИСС (МОСКВА)""","125009,  г. Москва, Романов  переулок,  д. 4, стр. 2",1,22
2495,45,17541355,1027739329375,2495,044525222,9/1/2013,"""ИНГ БАНК (ЕВРАЗИЯ) ЗАО""","127473,  г. Москва, ул. Краснопролетарская, д. 36",1,22
2499,25,27268481,1023800000245,2499,042520840,9/1/2013,"ООО ""Крона-Банк""","664007, Иркутская область, г. Иркутск, ул.Дзержинского,29",1,22
2506,45,17538910,1027700140753,2506,044585700,9/1/2013,"ООО ""банк Раунд""","121609,  г. Москва, ш. Рублевское, д. 28",1,22
2507,36,21217985,1026300001881,2507,043678838,9/1/2013,"АКБ ""Тольяттихимбанк"" (ЗАО)","445009, Самарская обл., г.Тольятти, ул.Горького, 96",1,24
2518,03,32293624,1022300003703,2518,040349722,9/1/2013,"КБ ""Кубань Кредит"" ООО","350000, г. Краснодар, ул. им. Орджоникидзе, дом № 46 / ул. Красноармейская, дом  № 32",1,27
2519,80,31233726,1020200000402,2519,048073809,9/1/2013,"ООО ""УралКапиталБанк""","450071, город Уфа, улица Рязанская, дом № 10",1,27
2524,45,21887160,1027700053776,2524,044585319,9/1/2013,"КБ ""МКБ"" (ОАО)","115280, г. Москва, Пересветов переулок, д. 2/3, подъезды №1,2",1,22
2529,89,27800243,1021300001029,2529,048952752,9/1/2013,"ОАО АКБ ""АКТИВ БАНК""","430005, г.Саранск, ул.Коммунистическая, 52",1,27
2530,40,31044988,1027800000942,2530,044030889,9/1/2013,"ЗАО ""ЭКСИ-Банк""","197376, Санкт-Петербург, ул. Профессора Попова, д. 23",1,22
2534,45,23618116,1025480001073,2534,044525732,9/1/2013,"ОАО КБ ""Пойд?м!""","121170, г. Москва, Кутузовский просп., 36, стр. 3",1,31
2537,45,17543756,1027739700548,2537,044585551,9/1/2013,"КБ ""ПРИСКО КАПИТАЛ БАНК"", ЗАО","123022,  г. Москва, Б. Предтеченский переулок, д.22",1,22
2542,36,42530114,1026300001980,2542,043678929,9/1/2013,"ЗАО ""ФИА-БАНК""","445037, Самарская обл., г. Тольятти,  Новый проезд, д.8",1,31
2543,45,17543992,1027739076144,2543,044579228,9/1/2013,КБ МКБ (ООО),"109004, г. Москва, ул. Таганская, дом 15, строение 1",1,31
2546,45,17541272,1027739075891,2546,044583162,9/1/2013,"ЗАО АКБ ""НОВИКОМБАНК""","119180,  г. Москва, Якиманская наб., д. 4/4 стр. 2",1,22
2547,60,31651866,1026103270214,2547,046015728,9/1/2013,"ОАО АКБ ""Капиталбанк""","344011, г. Ростов-на-Дону, пер. Доломановский, 70 ""д""",1,27
2548,45,17541958,1027739033453,2548,044579471,9/1/2013,"ЗАО ""МЕТРОБАНК""","121151, г. Москва, ул. Можайский вал, д. 8Б",1,22
2551,40,31029552,1027800000227,2551,044030852,9/1/2013,"ОАО ""ПСКБ""","191123, Санкт-Петербург, ул. Шпалерная, 42",1,31
2554,92,13001900,1021600000047,2554,049240801,9/1/2013,"ООО КБ ""Камский горизонт""","423834, Республика Татарстан, г.Набережные Челны, Московский проспект, д.120",1,27
