REGN,OKATO,OKPO,OGRN,REGN_S,BIC,DT,NAME_B,ADR,C2_5
914,28,09131057,1026900000016,914,042809701,10/1/2012,"КБ ""КБЦ"" /ООО/","170100, г. Тверь, улица Малая Самара, дом 9, корпус 1",20
917,71,09317187,1027200000080,917,047102885,10/1/2012,"ЗАО ""ТЮМЕНЬАГРОПРОМБАНК""","625023, Тюменская область, г. Тюмень, ул. Одесская, 33",20
918,71,09268282,1028900001460,918,047130639,10/1/2012,"""Запсибкомбанк"" ОАО","625000, Тюменская область, г. Тюмень,  ул. 8-е Марта, 1",30
927,24,09123046,1023700000169,927,042406707,10/1/2012,"АКБ ""Акция"" ОАО","153000, г.Иваново, ул.Ташкентская, 14",20
930,45,09108437,1027739306638,930,044599749,10/1/2012,"ЗАО ""Новый Промышленный Банк""","109028, г. Москва, Покровский бульвар, д.6/20, стр.2",20
931,63,12237925,1026400001858,931,046311751,10/1/2012,"ОАО ""НВКбанк""","410012, г. Саратов, ул.Рахова В.Г., д. 129",20
933,28,09131554,1026900000170,933,042854751,10/1/2012,"ОАО КБ ""Торжокуниверсалбанк""","172002, Тверская область, г.Торжок, площадь Ананьина, дом 3",25
937,45,09251146,1026400001803,937,044552706,10/1/2012,"ЗАО ""ОРБАНК""","115280, г. Москва, ул. Ленинская Слобода, д. 19, стр. 32",20
948,45,09317460,1027739109914,948,044525209,10/1/2012,"ЗАО ""М БАНК""","117393,  г. Москва, ул. Профсоюзная, д. 78, стр. 1",25
963,34,09139030,1024400001779,963,043469743,10/1/2012,"ООО ИКБ ""Совкомбанк""","156000, г. Кострома, пр. Текстильщиков, д. 46",30
965,65,09253317,1026600001823,965,046524721,10/1/2012,"ЗАО ""ПЕРВОУРАЛЬСКБАНК""","623109, Свердловская область, г.Первоуральск, пр. Ильича, 9 б",30
967,40,09317619,1023900001993,967,044030917,10/1/2012,"ОАО АКБ ""Балтика""","191014, г. Санкт-Петербург, Виленский пер., 15, лит. А, пом. 19-Н, 20-Н",30
969,45,09282017,1027500001100,969,044579708,10/1/2012,"ОАО ""Евразийский банк""","101000, г. Москва, Кривоколенный пер., д. 12, стр. 1",20
970,34,09139125,1024400003209,970,043469710,10/1/2012,"ООО КБ ""Конфидэнс Банк""","156000, г. Кострома, пр. Мира, д. 113",25
990,71,09317827,1027200000013,990,047106730,10/1/2012,"ООО КБ ""Дружба""","625048, Тюменская область, г. Тюмень, ул. Максима Горького, 68, корпус 2/1",20
991,80,16799712,1020280000014,991,048073855,10/1/2012,"ОАО ""АФ Банк""","450057, Республика Башкортостан, город Уфа, улица Октябрьской революции, 78",25
